country,entity,data_year,age,age_group,group_rank,sex,ethnicity,activity,count
Australia,Offender,2023,10,Juvenile,2,Female,,,25.25
Australia,Offender,2023,10,Juvenile,2,Male,,,35.875
Australia,Offender,2023,11,Juvenile,2,Female,,,25.25
Australia,Offender,2023,11,Juvenile,2,Male,,,35.875
Australia,Offender,2023,12,Juvenile,2,Female,,,25.25
Australia,Offender,2023,12,Juvenile,2,Male,,,35.875
Australia,Offender,2023,13,Juvenile,2,Female,,,25.25
Australia,Offender,2023,13,Juvenile,2,Male,,,35.875
Australia,Offender,2023,14,Juvenile,2,Female,,,25.25
Australia,Offender,2023,14,Juvenile,2,Male,,,35.875
Australia,Offender,2023,15,Juvenile,2,Female,,,25.25
Australia,Offender,2023,15,Juvenile,2,Male,,,35.875
Australia,Offender,2023,16,Juvenile,2,Female,,,25.25
Australia,Offender,2023,16,Juvenile,2,Male,,,35.875
Australia,Offender,2023,17,Juvenile,2,Female,,,25.25
Australia,Offender,2023,17,Juvenile,2,Male,,,35.875
Australia,Offender,2023,18,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,18,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,18,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,19,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,19,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,19,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,20,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,20,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,20,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,21,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,21,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,21,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,22,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,22,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,22,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,23,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,23,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,23,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,24,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,24,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,24,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,25,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,25,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,25,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,26,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,26,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,26,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,27,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,27,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,27,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,28,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,28,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,28,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,29,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,29,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,29,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,30,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,30,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,30,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,31,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,31,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,31,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,32,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,32,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,32,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,33,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,33,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,33,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,34,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,34,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,34,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,35,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,35,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,35,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,36,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,36,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,36,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,37,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,37,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,37,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,38,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,38,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,38,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,39,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,39,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,39,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,40,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,40,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,40,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,41,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,41,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,41,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,42,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,42,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,42,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,43,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,43,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,43,Adult,3,Male,,,22.62962962962963
Australia,Offender,2023,44,Adult,3,,,,0.037037037037037035
Australia,Offender,2023,44,Adult,3,Female,,,0.9259259259259259
Australia,Offender,2023,44,Adult,3,Male,,,22.62962962962963
Germany,Suspect,2023,0,Child,1,Female,,Consumer,1.1666666666666667
Germany,Suspect,2023,0,Child,1,Female,,Producer,12.666666666666666
Germany,Suspect,2023,0,Child,1,Male,,Consumer,4.166666666666667
Germany,Suspect,2023,0,Child,1,Male,,Producer,17.333333333333332
Germany,Suspect,2023,1,Child,1,Female,,Consumer,1.1666666666666667
Germany,Suspect,2023,1,Child,1,Female,,Producer,12.666666666666666
Germany,Suspect,2023,1,Child,1,Male,,Consumer,4.166666666666667
Germany,Suspect,2023,1,Child,1,Male,,Producer,17.333333333333332
Germany,Suspect,2023,2,Child,1,Female,,Consumer,1.1666666666666667
Germany,Suspect,2023,2,Child,1,Female,,Producer,12.666666666666666
Germany,Suspect,2023,2,Child,1,Male,,Consumer,4.166666666666667
Germany,Suspect,2023,2,Child,1,Male,,Producer,17.333333333333332
