data_year,id,description,incidents,attempted_only
2023,143200,"Verbreitung, Erwerb, Besitz und Herstellung kinderpornografischer Inhalte § 184b StGB",45191,139
2023,143210,"Verbreitung, Erwerb, Besitz und Herstellung von Kinderpornografie § 184b Abs. 1 StGB",28382,99
2023,143211,Verbreitung von Kinderpornografie § 184b Abs. 1 Nr. 1 StGB,23178,85
2023,143212,Besitzverschaffung für andere von Kinderpornografie § 184b Abs. 1 Nr. 2 StGB,4182,8
2023,143213,Herstellung auch ohne Verbreitungsabsicht von Kinderpornografie mit tatsächlichem Geschehen § 184b Abs. 1 Nr. 3 StGB,456,5
2023,143214,Herstellung mit Verbreitungsabsicht von Kinderpornografie § 184b Abs. 1 Nr. 4 StGB,566,1
2023,143220,Verbreitung und Herstellung von Kinderpornografie gewerbs-/bandenmäßig § 184b Abs. 2 StGB,79,0
2023,143230,Besitz oder sich Verschaffen von Kinderpornografie § 184b Abs. 3 StGB,16730,40
2023,143500,"Verbreitung, Erwerb, Besitz und Herstellung jugendpornografischer Inhalte § 184c StGB",8851,58
2023,143510,"Verbreitung, Erwerb, Besitz und Herstellung von Jugendpornografie § 184c Abs. 1 StGB",5252,58
2023,143511,Verbreitung von Jugendpornografie § 184c Abs. 1 Nr. 1 StGB,4092,49
2023,143512,Besitzverschaffung für andere von Jugendpornografie § 184c Abs. 1 Nr. 2 StGB,665,0
2023,143513,Herstellung auch ohne Verbreitungsabsicht mit tatsächlichem Geschehen von Jugendpornografie § 184c Abs. 1 Nr. 3 StGB,251,9
2023,143514,Herstellung mit Verbreitungsabsicht von Jugendpornografie § 184c Abs. 1 Nr. 4 StGB,244,0
2023,143520,Verbreitung und Herstellung von Jugendpornografie gewerbs-/bandenmäßig § 184c Abs. 2 StGB,23,0
2023,143530,Besitz oder sich Verschaffen von Jugendpornografie § 184c Abs. 3 StGB,3576,0
2024,143200,"Verbreitung, Erwerb, Besitz und Herstellung kinderpornografischer Inhalte § 184b StGB",42854,261
2024,143210,"Verbreitung, Erwerb, Besitz und Herstellung von Kinderpornografie § 184b Abs. 1 StGB",27608,150
2024,143211,Verbreitung von Kinderpornografie § 184b Abs. 1 Nr. 1 StGB,21582,129
2024,143212,Besitzverschaffung für andere von Kinderpornografie § 184b Abs. 1 Nr. 2 StGB,4584,12
2024,143213,Herstellung auch ohne Verbreitungsabsicht von Kinderpornografie mit tatsächlichem Geschehen § 184b Abs. 1 Nr. 3 StGB,664,8
2024,143214,Herstellung mit Verbreitungsabsicht von Kinderpornografie § 184b Abs. 1 Nr. 4 StGB,778,1
2024,143220,Verbreitung und Herstellung von Kinderpornografie gewerbs-/bandenmäßig § 184b Abs. 2 StGB,133,0
2024,143230,Besitz oder sich Verschaffen von Kinderpornografie § 184b Abs. 3 StGB,15113,111
2024,143500,"Verbreitung, Erwerb, Besitz und Herstellung jugendpornografischer Inhalte § 184c StGB",9601,94
2024,143510,"Verbreitung, Erwerb, Besitz und Herstellung von Jugendpornografie § 184c Abs. 1 StGB",6214,94
2024,143511,Verbreitung von Jugendpornografie § 184c Abs. 1 Nr. 1 StGB,4820,84
2024,143512,Besitzverschaffung für andere von Jugendpornografie § 184c Abs. 1 Nr. 2 StGB,808,0
2024,143513,Herstellung auch ohne Verbreitungsabsicht mit tatsächlichem Geschehen von Jugendpornografie § 184c Abs. 1 Nr. 3 StGB,247,10
2024,143514,Herstellung mit Verbreitungsabsicht von Jugendpornografie § 184c Abs. 1 Nr. 4 StGB,339,0
2024,143520,Verbreitung und Herstellung von Jugendpornografie gewerbs-/bandenmäßig § 184c Abs. 2 StGB,29,0
2024,143530,Besitz oder sich Verschaffen von Jugendpornografie § 184c Abs. 3 StGB,3358,0
