Year,Age,Sex,Supply,Count
2023,Child,Female,Consumer,489
2023,Child,Female,Producer,1511
2023,Child,Male,Consumer,1120
2023,Child,Male,Producer,3071
2023,Adolescent,Female,Consumer,588
2023,Adolescent,Female,Producer,1249
2023,Adolescent,Male,Consumer,3972
2023,Adolescent,Male,Producer,6957
2023,Adult,Female,Consumer,1410
2023,Adult,Female,Producer,1766
2023,Adult,Male,Consumer,10596
2023,Adult,Male,Producer,13992
2024,Child,Female,Consumer,503
2024,Child,Female,Producer,2018
2024,Child,Male,Consumer,1180
2024,Child,Male,Producer,3974
2024,Adolescent,Female,Consumer,504
2024,Adolescent,Female,Producer,1400
2024,Adolescent,Male,Consumer,3389
2024,Adolescent,Male,Producer,7086
2024,Adult,Female,Consumer,846
2024,Adult,Female,Producer,1464
2024,Adult,Male,Consumer,9870
2024,Adult,Male,Producer,12995
