country,iso3,2019,2020,2021,2022,2023
Afghanistan,AFG,"163,120","115,259","283,116","224,918","197,048"
Aland Islands,ALA,15,20,21,51,25
Albania,ALB,"17,545","23,426","15,985","11,376","8,821"
Algeria,DZA,"700,535","1,102,939","1,171,653","731,167","762,754"
American Samoa,ASM,33,67,114,223,90
Andorra,AND,92,126,104,202,261
Angola,AGO,"10,163","14,622","13,346","22,644","33,998"
Anguilla,AIA,40,80,70,78,99
Antarctica,ATA,1,1,4,6,3
Antigua and Barbuda,ATG,196,124,149,351,261
Argentina,ARG,"57,372","76,857","91,957","136,040","134,880"
Armenia,ARM,"4,793","4,594","3,486","3,971","11,058"
Aruba,ABW,359,640,527,726,587
Australia,AUS,"33,645","36,193","65,535","182,050","74,919"
Austria,AUT,"10,217","10,363","7,580","18,501","19,630"
Azerbaijan,AZE,"11,445","10,462","42,763","10,077","86,394"
Bahamas,BHS,421,670,858,"1,513","1,087"
Bahrain/Bahrein,BHR,"26,093","22,960","32,346","25,896","27,503"
Bangladesh,BGD,"556,642","817,687","1,743,240","2,145,098","2,491,368"
Barbados,BRB,755,633,597,"2,486","1,269"
Belarus,BLR,"1,828","2,603","5,636","6,598","15,618"
Belgium,BEL,"21,448","22,154","15,762","50,255","41,926"
Belize,BLZ,"1,907","2,780","8,297","6,103","2,502"
Benin,BEN,"3,480","3,977","3,683","6,203","8,489"
Bermuda,BMU,67,55,91,275,167
Bhutan,BTN,"4,597","15,379","14,518","6,812","5,895"
Bolivia,BOL,"22,597","120,161","36,551","46,298","33,300"
"Bonaire, Sint Eustatius and Saba",BES,42,123,74,89,74
Bosnia and Herzegovina,BIH,"15,675","21,263","10,930","12,115","15,762"
Botswana,BWA,"1,582","9,195","1,998","4,494","4,987"
Bouvet Island,BVT,,,1,,
Brazil,BRA,"398,069","432,196","437,091","611,230","567,985"
British Indian Ocean Territory,IOT,7,2,45,35,15
British Virgin Islands,VGB,60,63,79,180,237
Brunei,BRN,"2,070","2,119","3,214","2,988","2,638"
Bulgaria,BGR,"16,892","16,962","13,584","31,937","17,726"
Burkina Faso,BFA,"3,266","3,250","2,528","3,051","3,682"
Burma/Myanmar,MMR,"233,681","319,617","540,301","253,461","209,858"
Burundi,BDI,582,"1,117","1,486","2,274","2,133"
Cambodia,KHM,"91,458","188,328","395,793","227,955","172,906"
Cameroon,CMR,"5,906","7,108","8,325","9,931","13,440"
Canada,CAN,"36,908","43,350","62,084","178,300","112,174"
Cape Verde Islands,CPV,"2,481","3,006","3,855","3,584","2,992"
Cayman Islands,CYM,117,152,175,336,275
Central African Republic,CAF,221,321,241,248,302
Chad,TCD,340,624,713,"1,257","1,601"
Chile,CHL,"28,641","42,619","45,087","64,404","64,495"
Christmas Island,CXR,1,1,1,2,
Cocos (Keeling) Islands,CCK,,62,168,1,6
Colombia,COL,"264,582","763,997","440,203","647,907","602,660"
Comoros,COM,585,"1,029","3,963","4,194","2,979"
Congo,COG,859,"1,165","1,151","2,302","3,691"
"Congo, The Democratic Republic of the",COD,"3,856","6,461","5,368","12,052","13,302"
Cook Islands,COK,9,17,61,91,37
Costa Rica,CRI,"12,764","36,562","16,623","24,533","18,042"
Cote d'Ivoire (Ivory Coast),CIV,"18,916","20,274","17,676","27,116","38,169"
Croatia,HRV,"13,068","12,582","4,744","11,693","16,339"
Cuba,CUB,"4,412","12,122","13,779","12,362","19,242"
Curaçao,CUW,388,"1,335",366,528,463
Cyprus,CYP,"2,502","3,302","2,657","7,361","7,564"
Czech Republic,CZE,"14,448","11,044","15,004","61,994","34,342"
Denmark,DNK,"6,148","6,504","5,891","30,215","12,048"
Djibouti,DJI,"4,045","6,120","1,281","1,784",635
Dominica,DMA,108,115,128,394,274
Dominican Republic,DOM,"32,325","104,747","144,150","130,635","102,724"
Ecuador,ECU,"98,669","242,631","118,322","168,314","136,302"
Egypt,EGY,"276,596","449,940","622,633","431,044","627,802"
El Salvador,SLV,"25,015","73,197","35,868","46,619","27,560"
Equatorial Guinea,GNQ,157,198,157,266,567
Eretria,ERI,62,615,"1,199",228,"37"
Estonia,EST,"1,951","4,695","2,729","6,408","4,338"
Ethiopia,ETH,"15,054","17,451","6,851","11,146","9,347"
Europe,EEE,,,,3,
Falkland Islands,FLK,1,5,15,25,8
