Warns,,,,,,
,,,,,,
Warns,Individual Accounts Warned,Servers Warned,Server Member Warnings,,,
Child Safety,"3,185","1,146","23,043",,,
Deceptive Practices,131,0,0,,,
Exploitative and Unsolicited Content,"7,494",203,"371,489",,,
Harassment and Bullying,"3,713",223,"16,936",,,
Hateful Conduct,"1,422",419,"63,872",,,
Identity and Authenticity,16,0,0,,,
Misinformation,5,8,"8,797",,,
Platform Manipulation,52,20,52,,,
Regulated or Illegal Activities,2,22,"771,830",,,
Self-Harm Concerns,222,0,0,,,
Violent and Graphic Content,"1,567",289,"34,945",,,
Violent Extremism,--,--,--,,,
,,,,,,
Total:,"17,809","2,330","1,290,964",,,
,,,,,,
Accounts Disabled,,,,,,
,,,,,,
Accounts Disabled Category,Accounts Disabled,,,,,
Child Safety,"54,835",,,,,
Deceptive Practices,"6,635",,,,,
Exploitative and Unsolicited Content,"22,123",,,,,
Harassment and Bullying,"12,489",,,,,
Hateful Conduct,"4,352",,,,,
Identity and Authenticity,356,,,,,
Misinformation,124,,,,,
Platform Manipulation,"3,122",,,,,
Regulated or Illegal Activities,"41,441",,,,,
Self-Harm Concerns,"1,294",,,,,
Violent and Graphic Content,"18,666",,,,,
Violent Extremism,"8,308",,,,,
,,,,,,
Total:,"173,745",,,,,
,,,,,,
NCMEC,,,,,,
,,,,,,
Month,Media Reports,Grooming or Endangerment Escalations,Month Total,,,
January,"6,403",19,"6,422",,,
February,"4,756",38,"4,794",,,
March,"8,842",68,"8,910",,,
,,,,,,
Total,"20,001",125,"20,126",,,
,,,,,,
Servers Removed,,,,,,
,,,,,,
Servers Removed Category,Servers Removed Proactive,Servers Removed Reactive,Total Servers Removed,,,
Child Safety,"11,336","1,334","12,670",,,
Deceptive Practices,"1,792","1,660","3,452",,,
Exploitative and Unsolicited Content,518,"1,212","1,730",,,
Harassment and Bullying,135,"1,163","1,298",,,
Hateful Conduct,340,410,750,,,
Identity and Authenticity,12,11,23,,,
Misinformation,44,6,50,,,
Platform Manipulation,685,592,"1,277",,,
Regulated or Illegal Activities,"7,255","2,330","9,585",,,
Self-Harm Concerns,268,274,542,,,
Violent and Graphic Content,1477,871,"2,348",,,
Violent Extremism,561,373,934,,,
,,,,,,
Total:,"24,423","10,236","34,659",,,
,,,,,,
Appeals,,,,,,
,,,,,,
Appeal Category,Accounts Disabled,Appeals,% Accounts Who Submitted an Appeal,Appeals Granted,% Account Appeals Granted,% Accounts Unbanned
Child Safety,"54,835","10,469",19.09%,71,0.68%,0.13%
Deceptive Practices,"6,635","1,730",26.07%,45,2.60%,0.68%
Exploitative and Unsolicited Content,"22,123","2,806",12.68%,70,2.49%,0.32%
Harassment and Bullying,"12,489","4,385",35.11%,161,3.67%,1.29%
Hateful Conduct,"4,352","1,309",30.08%,52,3.97%,1.19%
Identity and Authenticity,356,46,12.92%,1,2.17%,0.28%
Misinformation,124,0,0.00%,0,0.00%,0.00%
Platform Manipulation,"3,122",809,25.91%,14,1.73%,0.45%
Regulated or Illegal Activities,"41,441","10,106",24.39%,166,1.64%,0.40%
Self-Harm Concerns,"1,294",240,18.55%,4,1.67%,0.31%
Violent and Graphic Content,"18,666","4,401",23.58%,137,3.11%,0.73%
Violent Extremism,"8,308","1,833",22.06%,57,3.11%,0.69%
,,,,,,
Sum:,"173,745","38,134",21.95%,778,2.04%,0.45%
,,,,,,
Reports,,,,,,
,,,,,,
Report Category,Reports Received,Reports Actioned,% of Reports Actioned,,,
Child Safety,"10,232",742,7.25%,,,
Deceptive Practices,"17,599","4,448",25.27%,,,
Exploitative and Unsolicited Content,"7,265",656,9.03%,,,
Harassment and Bullying,"37,793","5,085",13.45%,,,
Hateful Conduct,"18,221",768,4.21%,,,
Identity and Authenticity,"3,787","1,229",32.45%,,,
Misinformation,638,196,30.72%,,,
Platform Manipulation,"4,157",640,15.40%,,,
Regulated or Illegal Activities,"6,394","1,570",24.55%,,,
Self-Harm Concerns,"3,128",204,6.52%,,,
Violent and Graphic Content,"4,536","1,739",38.34%,,,
Violent Extremism,"3,292",923,28.04%,,,
,,,,,,
Total:,"117,042","18,200",15.55%,,,
,,,,,,
Legal,,,,,,
,,,,,,
Request Type,Requests,Information Produced,,,,
Court Orders,30,20,,,,
Pen Register / Trap and Trace,0,0,,,,
Search Warrants,545,495,,,,
Subpoenas,678,548,,,,
,,,,,,
Total,"1,253","1,063",,,,
,,,,,,
Request Type,Requests,Complied,,,,
Preservation Requests,817,684,,,,
