Warns,,,,,
,,,,,
Warns,Individual Accounts Warned,Servers Warned,Server Member Warnings,,
Child Safety,"2,599",106,"98,498",,
Deceptive Practices,"43,366",5,1,,
Exploitative and Unsolicited Content,"1,814",96,"1,272,870",,
Harassment and Bullying,"4,738",155,"146,798",,
Hateful Conduct,795,308,"39,618",,
Identity and Authenticity,9,1,1,,
Misinformation,2,8,609,,
Platform Manipulation,24,6,49,,
Regulated or Illegal Activities,4,27,"822,709",,
Self-Harm Concerns,184,113,"2,409",,
Violent and Graphic Content,991,159,"52,329",,
Violent Extremism,--,--,--,,
,,,,,
Total:,"54,526",984,"2,435,891",,
,,,,,
Accounts Disabled,,,,,
,,,,,
Accounts Disabled Category,Accounts Disabled,,,,
Child Safety,Accounts Disabled,,,,
Deceptive Practices,"128,153",,,,
Exploitative and Unsolicited Content,"11,885",,,,
Harassment and Bullying,"14,448",,,,
Hateful Conduct,"24,384",,,,
Identity and Authenticity,"4,189",,,,
Misinformation,213,,,,
Platform Manipulation,49,,,,
Regulated or Illegal Activities,"3,515",,,,
Self-Harm Concerns,"47,211",,,,
Violent and Graphic Content,"1,090",,,,
Violent Extremism,"17,024",,,,
,"8,300",,,,
Total:,,,,,
,"260,461",,,,
NCMEC,,,,,
,,,,,
Month,Media Reports,Grooming or Endangerment Escalations,Month Total,,
July,"17,229",55,"17,284",,
August,"18,686",100,"18,786",,
September,"15,759",87,"15,846",,
,,,,,
Total,"51,674",242,"51,916",,
,,,,,
Servers Removed,,,,,
,,,,,
Servers Removed Category,Servers Removed Proactive,Servers Removed Reactive,Total Servers Removed,,
Child Safety,"6,644","1,092","7,736",,
Deceptive Practices,"1,428",961,"2,389",,
Exploitative and Unsolicited Content,"1,427",730,"2,157",,
Harassment and Bullying,299,437,736,,
Hateful Conduct,858,49,907,,
Identity and Authenticity,16,40,56,,
Misinformation,24,0,24,,
Platform Manipulation,"1,148",337,"1,485",,
Regulated or Illegal Activities,"16,691","5,944","22,635",,
Self-Harm Concerns,493,78,571,,
Violent and Graphic Content,"1,880",159,"2,039",,
Violent Extremism,"1,028",25,"1,053",,
,,,,,
Total:,"31,936","9,852","41,788",,
,,,,,
Appeals,,,,,
,,,,,
Appeal Category,Accounts Disabled,Appeals,% Accounts Who Submitted an Appeal,Appeals Granted,% Account Appeals Granted
Child Safety,"128,153","18,069",14.10%,93,0.51%
Deceptive Practices,"11,885","1,295",10.90%,38,2.93%
Exploitative and Unsolicited Content,"14,448","1,659",11.48%,38,2.29%
Harassment and Bullying,"24,384","7,728",31.69%,627,8.11%
Hateful Conduct,"4,189","1,044",24.92%,25,2.39%
Identity and Authenticity,213,14,6.57%,0,0.00%
Misinformation,49,596,0.00%,0,0.00%
Platform Manipulation,"3,515",651,18.52%,10,1.54%
Regulated or Illegal Activities,"47,211","10,557",22.36%,175,1.66%
Self-Harm Concerns,"1,090",3,0.28%,0,0.00%
Violent and Graphic Content,"17,024","3,059",17.97%,75,2.45%
Violent Extremism,"8,300","1,650",19.88%,82,4.97%
,,,,,
Sum:,"260,461","46,325",17.79%,"1,163",2.51%
,,,,,
In-App Reports,,,,,
,,,,,
Report Category,Reports Received,,,,
Child Safety,"484,927",,,,
Deceptive Practices,"688,434",,,,
Exploitative and Unsolicited Content,"1,010,501",,,,
Harassment and Bullying,"2,741,693",,,,
Hateful Conduct,"607,585",,,,
Misinformation,"102,103",,,,
Platform Manipulation,"6,482,256",,,,
Regulated or Illegal Activities,"220,214",,,,
Self-Harm Concerns,"157,467",,,,
Violent and Graphic Content,"501,695",,,,
Violent Extremism,"47,344",,,,
,,,,,
Total:,"13,044,219",,,,
,,,,,
United States Government Information Requests,,,,,
,,,,,
Request Type,Requests,Information Produced,,,
Court Orders,38,26,,,
Pen Register / Trap and Trace,2,2,,,
Search Warrants,633,574,,,
Subpoenas,724,577,,,
,,,,,
Total,"1,397","1,179",,,
,,,,,
International Government Information Requests,,,,,
,,,,,
Country,Requests,Information Produced,,,
Argentina,2,0,,,
Australia,12,0,,,
Austria,1,0,,,
Belgium,7,0,,,
Brazil,41,26,,,
Canada,3,0,,,
Costa Rica,1,0,,,
Czech Republic,3,0,,,
Denmark,11,0,,,
Finland,3,0,,,
France,21,0,,,
Germany,28,0,,,
Greece,5,0,,,
Lithuania ,1,0,,,
Mexico,1,0,,,
Netherlands,1,0,,,
New Zealand,1,0,,,
Norway,1,0,,,
Poland,16,0,,,
Singapore,1,0,,,
Spain,4,0,,,
Sweden,1,0,,,
Switzerland,1,0,,,
Taiwan,2,0,,,
Turkey,1,0,,,
United Kingdom,17,0,,,
,,,,,
Total,186,26,,,
,,,,,
Preservation Requests,,,,,
,,,,,
Country,Requests,Complied,,,
Argentina,3,0,,,
Australia,5,2,,,
Austria,1,1,,,
Brazil,19,7,,,
Canada,24,16,,,
Chile,1,0,,,
Croatia,2,2,,,
Cyprus,3,1,,,
Denmark,17,13,,,
Finland,1,1,,,
France,4,0,,,
Germany,10,8,,,
India,1,0,,,
Ireland,22,14,,,
New Zealand,1,0,,,
Philippines,2,0,,,
Poland,1,0,,,
Romania,1,0,,,
Spain,3,0,,,
Sweden,2,2,,,
Taiwan,1,0,,,
United Kingdom,10,7,,,
United States,"1,008",773,,,
Uruguay,2,1,,,
,,,,,
Total,"1,144",848,,,
