
"Year","Suspect's sex","Suspect's age","ICCS offence category","Persons suspected of solved offences","Number of offence headings for suspects of solved offences"
"2015","Total","Total","030221  Child pornography",135,117
"2015","Total","0 - 14","030221  Child pornography",12,12
"2015","Total","0 - 17","030221  Child pornography",22,22
"2015","Total","18 -","030221  Child pornography",113,95
"2015","Total","18 - 29","030221  Child pornography",66,57
"2015","Total","30 - 49","030221  Child pornography",40,31
"2015","Total","50 -","030221  Child pornography",7,7
"2015","Total","Unknown","030221  Child pornography",0,0
"2015","Males","Total","030221  Child pornography",132,114
"2015","Males","0 - 14","030221  Child pornography",11,11
"2015","Males","0 - 17","030221  Child pornography",20,20
"2015","Males","18 -","030221  Child pornography",112,94
"2015","Males","18 - 29","030221  Child pornography",65,56
"2015","Males","30 - 49","030221  Child pornography",40,31
"2015","Males","50 -","030221  Child pornography",7,7
"2015","Males","Unknown","030221  Child pornography",0,0
"2015","Females","Total","030221  Child pornography",3,3
"2015","Females","0 - 14","030221  Child pornography",1,1
"2015","Females","0 - 17","030221  Child pornography",2,2
"2015","Females","18 -","030221  Child pornography",1,1
"2015","Females","18 - 29","030221  Child pornography",1,1
"2015","Females","30 - 49","030221  Child pornography",0,0
"2015","Females","50 -","030221  Child pornography",0,0
"2015","Females","Unknown","030221  Child pornography",0,0
"2015","Unknown","Total","030221  Child pornography",0,0
"2015","Unknown","0 - 14","030221  Child pornography",0,0
"2015","Unknown","0 - 17","030221  Child pornography",0,0
"2015","Unknown","18 -","030221  Child pornography",0,0
"2015","Unknown","18 - 29","030221  Child pornography",0,0
"2015","Unknown","30 - 49","030221  Child pornography",0,0
"2015","Unknown","50 -","030221  Child pornography",0,0
"2015","Unknown","Unknown","030221  Child pornography",0,0
"2016","Total","Total","030221  Child pornography",143,143
"2016","Total","0 - 14","030221  Child pornography",10,10
"2016","Total","0 - 17","030221  Child pornography",18,18
"2016","Total","18 -","030221  Child pornography",125,125
"2016","Total","18 - 29","030221  Child pornography",33,33
"2016","Total","30 - 49","030221  Child pornography",61,61
"2016","Total","50 -","030221  Child pornography",31,31
"2016","Total","Unknown","030221  Child pornography",0,0
"2016","Males","Total","030221  Child pornography",137,137
"2016","Males","0 - 14","030221  Child pornography",7,7
"2016","Males","0 - 17","030221  Child pornography",15,15
"2016","Males","18 -","030221  Child pornography",122,122
"2016","Males","18 - 29","030221  Child pornography",31,31
"2016","Males","30 - 49","030221  Child pornography",60,60
"2016","Males","50 -","030221  Child pornography",31,31
"2016","Males","Unknown","030221  Child pornography",0,0
"2016","Females","Total","030221  Child pornography",6,6
"2016","Females","0 - 14","030221  Child pornography",3,3
"2016","Females","0 - 17","030221  Child pornography",3,3
"2016","Females","18 -","030221  Child pornography",3,3
"2016","Females","18 - 29","030221  Child pornography",2,2
"2016","Females","30 - 49","030221  Child pornography",1,1
"2016","Females","50 -","030221  Child pornography",0,0
"2016","Females","Unknown","030221  Child pornography",0,0
"2016","Unknown","Total","030221  Child pornography",0,0
"2016","Unknown","0 - 14","030221  Child pornography",0,0
"2016","Unknown","0 - 17","030221  Child pornography",0,0
"2016","Unknown","18 -","030221  Child pornography",0,0
"2016","Unknown","18 - 29","030221  Child pornography",0,0
"2016","Unknown","30 - 49","030221  Child pornography",0,0
"2016","Unknown","50 -","030221  Child pornography",0,0
"2016","Unknown","Unknown","030221  Child pornography",0,0
"2017","Total","Total","030221  Child pornography",151,151
"2017","Total","0 - 14","030221  Child pornography",19,19
"2017","Total","0 - 17","030221  Child pornography",52,52
"2017","Total","18 -","030221  Child pornography",99,99
"2017","Total","18 - 29","030221  Child pornography",24,24
"2017","Total","30 - 49","030221  Child pornography",55,55
"2017","Total","50 -","030221  Child pornography",20,20
"2017","Total","Unknown","030221  Child pornography",0,0
"2017","Males","Total","030221  Child pornography",145,145
"2017","Males","0 - 14","030221  Child pornography",15,15
"2017","Males","0 - 17","030221  Child pornography",47,47
"2017","Males","18 -","030221  Child pornography",98,98
"2017","Males","18 - 29","030221  Child pornography",24,24
"2017","Males","30 - 49","030221  Child pornography",54,54
"2017","Males","50 -","030221  Child pornography",20,20
"2017","Males","Unknown","030221  Child pornography",0,0
"2017","Females","Total","030221  Child pornography",6,6
"2017","Females","0 - 14","030221  Child pornography",4,4
"2017","Females","0 - 17","030221  Child pornography",5,5
"2017","Females","18 -","030221  Child pornography",1,1
"2017","Females","18 - 29","030221  Child pornography",0,0
"2017","Females","30 - 49","030221  Child pornography",1,1
"2017","Females","50 -","030221  Child pornography",0,0
"2017","Females","Unknown","030221  Child pornography",0,0
"2017","Unknown","Total","030221  Child pornography",0,0
"2017","Unknown","0 - 14","030221  Child pornography",0,0
"2017","Unknown","0 - 17","030221  Child pornography",0,0
"2017","Unknown","18 -","030221  Child pornography",0,0
"2017","Unknown","18 - 29","030221  Child pornography",0,0
"2017","Unknown","30 - 49","030221  Child pornography",0,0
"2017","Unknown","50 -","030221  Child pornography",0,0
"2017","Unknown","Unknown","030221  Child pornography",0,0
"2018","Total","Total","030221  Child pornography",100,100
