1;2;3;4;5;6;7;8;9;10;11
Schluessel;Straftat;Sexus;Tatverdaechtige insgesamt;Erwachsene ab 21;Ewachsene ab 60;Erwachsene 60 bis unter 65 Jahre;Erwachsene 65 bis unter 70 Jahre;Erwachsene 70 bis unter 75 Jahre;Erwachsene 75 bis unter 80 Jahre;Erwachsene 80 Jahre und aelter
------;Straftaten insgesamt;M;1,514,667;1,195,612;108,196;42,756;27,107;16,068;12,675;9,590
------;Straftaten insgesamt;W;504,544;395,853;47,009;16,910;11,562;7,132;6,143;5,262
------;Straftaten insgesamt;X;2,019,211;1,591,465;155,205;59,666;38,669;23,200;18,818;14,852
0;Straftaten gegen das Leben;M;3,212;2,696;236;109;48;24;26;29
0;Straftaten gegen das Leben;W;626;569;67;35;10;6;6;10
0;Straftaten gegen das Leben;X;3,838;3,265;303;144;58;30;32;39
10000;Mord § 211 StGB;M;782;648;54;22;12;8;5;7
10000;Mord § 211 StGB;W;102;82;12;5;2;1;1;3
10000;Mord § 211 StGB;X;884;730;66;27;14;9;6;10
10079;Sonstiger Mord;M;721;609;54;22;12;8;5;7
10079;Sonstiger Mord;W;89;75;12;5;2;1;1;3
10079;Sonstiger Mord;X;810;684;66;27;14;9;6;10
11000;Mord im Zusammenhang mit Raubdelikten;M;58;37;0;0;0;0;0;0
11000;Mord im Zusammenhang mit Raubdelikten;W;13;7;0;0;0;0;0;0
11000;Mord im Zusammenhang mit Raubdelikten;X;71;44;0;0;0;0;0;0
12000;Mord im Zusammenhang mit Sexualdelikten;M;4;3;0;0;0;0;0;0
12000;Mord im Zusammenhang mit Sexualdelikten;W;0;0;0;0;0;0;0;0
12000;Mord im Zusammenhang mit Sexualdelikten;X;4;3;0;0;0;0;0;0
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;M;1,891;1,533;94;32;19;10;13;20
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;W;220;196;29;11;5;4;4;5
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;X;2,111;1,729;123;43;24;14;17;25
20010;Totschlag § 212 StGB;M;1,879;1,521;83;30;16;10;10;17
20010;Totschlag § 212 StGB;W;215;192;28;10;5;4;4;5
20010;Totschlag § 212 StGB;X;2,094;1,713;111;40;21;14;14;22
20020;Minder schwerer Totschlag § 213 StGB;M;1;1;1;0;1;0;0;0
20020;Minder schwerer Totschlag § 213 StGB;W;0;0;0;0;0;0;0;0
20020;Minder schwerer Totschlag § 213 StGB;X;1;1;1;0;1;0;0;0
20030;Tötung auf Verlangen § 216 StGB;M;11;11;10;2;2;0;3;3
20030;Tötung auf Verlangen § 216 StGB;W;5;4;1;1;0;0;0;0
20030;Tötung auf Verlangen § 216 StGB;X;16;15;11;3;2;0;3;3
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;M;490;473;86;54;16;6;8;2
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;W;284;274;26;19;3;1;1;2
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;X;774;747;112;73;19;7;9;4
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;M;55;48;2;1;1;0;0;0
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;W;22;19;0;0;0;0;0;0
40000;Abbruch der Schwangerschaft §§ 218, 218b, 218c, 219a, 219b StGB;X;77;67;2;1;1;0;0;0
40010;Schwangerschaftsabbruch § 218 StGB;M;51;44;1;1;0;0;0;0
40010;Schwangerschaftsabbruch § 218 StGB;W;22;19;0;0;0;0;0;0
40010;Schwangerschaftsabbruch § 218 StGB;X;73;63;1;1;0;0;0;0
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;M;2;2;0;0;0;0;0;0
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;W;0;0;0;0;0;0;0;0
40020;Schwangerschaftsabbruch ohne ärztliche Feststellung, unrichtige ärztliche Feststellung § 218b StGB;X;2;2;0;0;0;0;0;0
40030;Ärztliche Pflichtverletzung § 218c StGB;M;0;0;0;0;0;0;0;0
40030;Ärztliche Pflichtverletzung § 218c StGB;W;0;0;0;0;0;0;0;0
40030;Ärztliche Pflichtverletzung § 218c StGB;X;0;0;0;0;0;0;0;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;M;1;1;1;0;1;0;0;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;W;0;0;0;0;0;0;0;0
40040;Werbung für den Abbruch der Schwangerschaft § 219a StGB;X;1;1;1;0;1;0;0;0
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;M;1;1;0;0;0;0;0;0
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;W;0;0;0;0;0;0;0;0
40050;Inverkehrbringen von Mitteln Schwangerschaftsabbruch § 219b StGB;X;1;1;0;0;0;0;0;0
50000;Geschäftsmäßige Förderung der Selbsttötung;M;1;1;1;0;0;0;1;0
50000;Geschäftsmäßige Förderung der Selbsttötung;W;0;0;0;0;0;0;0;0
50000;Geschäftsmäßige Förderung der Selbsttötung;X;1;1;1;0;0;0;1;0
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;M;48,770;33,675;3,597;1,434;942;550;380;291
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;W;3,552;1,839;95;54;21;6;9;5
100000;Straftaten gegen die sexuelle Selbstbestimmung insgesamt;X;52,322;35,514;3,692;1,488;963;556;389;296
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;M;22,452;17,169;1,607;617;386;249;174;181
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;W;414;314;15;8;2;1;2;2
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;X;22,866;17,483;1,622;625;388;250;176;183
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;M;8,095;6,087;285;127;63;33;23;39
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;W;94;73;3;1;1;1;0;0
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;X;8,189;6,160;288;128;64;34;23;39
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;M;7,318;5,526;239;106;55;27;18;33
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;W;74;57;3;1;1;1;0;0
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;X;7,392;5,583;242;107;56;28;18;33
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);M;5,869;4,440;183;94;40;20;10;19
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);W;44;34;2;1;1;0;0;0
111710;Vergewaltigung § 177 Abs. 6 Nr. 1, 2 StGB (ohne Schlüssel 111730);X;5,913;4,474;185;95;41;20;10;19
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;M;528;398;17;7;4;2;2;2
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;W;6;3;0;0;0;0;0;0
111720;Vergewaltigung im besonders schweren Fall § 177 Abs. 6 Nr. 1, 2 i. V. m. Abs. 7, 8 StGB;X;534;401;17;7;4;2;2;2
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;M;965;722;40;5;11;6;6;12
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;W;24;20;1;0;0;1;0;0
111730;Vergewaltigung von widerstandsunfähigen Personen (§ 177 Abs. 2 Nr. 1, Abs. 4) gem. § 177 Abs. 6 Nr. 1, 2 StGB;X;989;742;41;5;11;7;6;12
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;M;801;580;48;21;8;7;6;6
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;W;20;16;0;0;0;0;0;0
111800;Sexueller Übergriff und sexuelle Nötigung im besonders schweren Fall § 177 Abs. 1, 2, 4, 5 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;X;821;596;48;21;8;7;6;6
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;M;338;238;21;7;5;4;3;2
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;W;11;7;0;0;0;0;0;0
111810;Sexueller Übergriff im besonders schweren Fall § 177 Abs. 1, 2 (ohne Nr. 1) i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;X;349;245;21;7;5;4;3;2
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;M;354;265;13;10;1;0;2;0
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;W;8;8;0;0;0;0;0;0
111820;Sexuelle Nötigung im besonders schweren Fall § 177 Abs. 5 i.V.m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;X;362;273;13;10;1;0;2;0
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;M;113;81;14;4;2;3;1;4
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;W;2;2;0;0;0;0;0;0
111830;Sexueller Übergriff an widerstandsunfähigen Personen im besonders schweren Fall § 177 Abs. 2 Nr. 1, Abs. 4 i. V. m. Abs. 6 Nr. 2, Abs. 7, 8 StGB;X;115;83;14;4;2;3;1;4
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;M;2;1;0;0;0;0;0;0
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;W;0;0;0;0;0;0;0;0
111900;Sexueller Übergriff, sexuelle Nötigung und Vergewaltigung mit Todesfolge § 178 StGB;X;2;1;0;0;0;0;0;0
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;M;4,692;3,517;372;139;89;55;43;46
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;W;97;64;3;1;1;0;0;1
112100;Sexueller Übergriff und sexuelle Nötigung § 177 Abs. 1, 2, 4, 5, 9 StGB;X;4,789;3,581;375;140;90;55;43;47
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;M;2,075;1,539;144;55;42;19;14;14
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;W;33;20;1;0;1;0;0;0
112110;Sexueller Übergriff § 177 Abs. 1, 2 (ohne Nr. 1), 9 StGB;X;2,108;1,559;145;55;43;19;14;14
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;M;2,113;1,573;153;58;37;20;20;18
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;W;49;34;1;0;0;0;0;1
112120;Sexuelle Nötigung § 177 Abs. 5, 9 StGB;X;2,162;1,607;154;58;37;20;20;19
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;M;553;442;82;28;13;17;9;15
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;W;15;10;1;1;0;0;0;0
112130;Sexueller Übergriff an widerstandsunfähigen Personen § 177 Abs. 2 Nr. 1, Abs. 4, 9 StGB;X;568;452;83;29;13;17;9;15
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;M;464;453;57;25;19;9;3;1
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;W;50;48;3;3;0;0;0;0
113000;Sexueller Missbrauch von Schutzbefohlenen pp., unter Ausnutzung einer Amtsstellung oder eines Vertrauensverhältnisses §§ 174, 174a-c StGB;X;514;501;60;28;19;9;3;1
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;M;325;317;27;13;9;4;1;0
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;W;35;33;1;1;0;0;0;0
113010;Sexueller Missbrauch von Schutzbefohlenen ab 14 Jahren § 174 StGB;X;360;350;28;14;9;4;1;0
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;M;31;30;4;2;0;1;0;1
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;W;5;5;1;1;0;0;0;0
113020;Sexueller Missbrauch von Gefangenen/Verwahrten usw. ab 14 Jahren § 174a StGB;X;36;35;5;3;0;1;0;1
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;M;0;0;0;0;0;0;0;0
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;W;0;0;0;0;0;0;0;0
113030;Sexueller Missbrauch - Ausnutzung einer Amtsstellung zum Nachteil von Personen ab 14 Jahren § 174b StGB;X;0;0;0;0;0;0;0;0
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;M;108;106;26;10;10;4;2;0
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;W;10;10;1;1;0;0;0;0
113040;Sexueller Missbrauch - Ausnutzung eines Beratungs-/Behandlungs-/Betreuungsverhältnisses zum Nachteil von Personen ab 14 Jahren § 174c StGB;X;118;116;27;11;10;4;2;0
114000;Sexuelle Belästigung § 184i StGB;M;9,676;7,489;936;344;223;155;113;101
114000;Sexuelle Belästigung § 184i StGB;W;177;132;6;3;0;0;2;1
114000;Sexuelle Belästigung § 184i StGB;X;9,853;7,621;942;347;223;155;115;102
115000;Straftaten aus Gruppen § 184j StGB;M;30;8;0;0;0;0;0;0
115000;Straftaten aus Gruppen § 184j StGB;W;0;0;0;0;0;0;0;0
115000;Straftaten aus Gruppen § 184j StGB;X;30;8;0;0;0;0;0;0
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;M;13,680;9,524;1,294;485;355;211;147;96
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;W;758;517;23;18;2;2;1;0
130000;Sexueller Missbrauch §§ 176, 176a, 176b, 182, 183, 183a StGB;X;14,438;10,041;1,317;503;357;213;148;96
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;M;9,632;5,832;708;262;205;114;84;43
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;W;627;402;17;13;2;1;1;0
131000;Sexueller Missbrauch von Kindern §§ 176, 176a, 176b StGB;X;10,259;6,234;725;275;207;115;85;43
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;M;98;69;9;3;2;3;1;0
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;W;8;4;0;0;0;0;0;0
131010;Sexuelle Handlungen § 176 Abs. 5 StGB;X;106;73;9;3;2;3;1;0
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;M;4,597;2,755;402;144;122;69;49;18
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;W;237;147;9;6;1;1;1;0
131100;Sexuelle Handlungen § 176 Abs. 1 und 2 StGB;X;4,834;2,902;411;150;123;70;50;18
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;M;790;650;121;33;29;19;20;20
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;W;74;68;2;1;1;0;0;0
131200;Exhibitionistische/sexuelle Handlungen vor Kindern § 176 Abs. 4 Nr. 1 StGB;X;864;718;123;34;30;19;20;20
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;M;379;197;27;11;9;6;0;1
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;W;24;14;0;0;0;0;0;0
131300;Sexuelle Handlungen § 176 Abs. 4 Nr. 2 StGB;X;403;211;27;11;9;6;0;1
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;M;1,948;833;47;25;11;6;2;3
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;W;155;65;1;1;0;0;0;0
131400;Einwirken auf Kinder § 176 Abs. 4 Nr. 3 und 4 StGB;X;2,103;898;48;26;11;6;2;3
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung § 176a Abs. 2 Nr. 1 StGB;M;895;731;46;21;15;7;3;0
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung § 176a Abs. 2 Nr. 1 StGB;W;31;30;1;1;0;0;0;0
131500;Vollzug des Beischlafs mit einem Kind oder Vornahme einer ähnlichen sexuellen Handlung § 176a Abs. 2 Nr. 1 StGB;X;926;761;47;22;15;7;3;0
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften § 176a Abs. 3 StGB;M;114;66;3;1;1;1;0;0
131600;Schwerer sexueller Missbrauch von Kindern zur Herstellung und Verbreitung pornographischer Schriften § 176a Abs. 3 StGB;W;15;9;0;0;0;0;0;0
