Table 3,ANZSOC Division,ANZSOC Subdivision,Year Month,Proceedings,Age Group,Age Group 5Yr Band,ANZSOC Group,ANZSOC_DIVISION_CD,ANZSOC_GROUP_CD,ANZSOC_SUBDIVISION_CD,Ethnic Group,Ethnicity,Method of Proceeding,Months Ago,Mop Division,Mop Group,Mop Subdivision,Number of Records,Person/Organisation,SEX,Ytd Month
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2015,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,Maori,Maori,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2017,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Formal Warning,,Non-Court Action,Formal Warning,Formal Warning,1,Person,Female,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2017,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Formal Warning,,Non-Court Action,Formal Warning,Formal Warning,1,Person,Female,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2016,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Formal Warning,,Non-Court Action,Formal Warning,Formal Warning,1,Person,Female,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Nov2018,1,30-34,30 - 34 years inclusive,Possess or access child abuse material,3,342,34,Not Stated,Not Stated,Formal Warning,-91,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,5
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Dec2018,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Formal Warning,-90,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,6
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jan2018,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Formal Warning,,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,7
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2016,1,30-34,30 - 34 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Formal Warning,,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Apr2019,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Formal Warning,-86,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,10
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2019,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,Not Stated,Not Stated,Formal Warning,-85,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2019,1,15-19,15 - 19 years inclusive,"Child abuse material offences, nfd",3,340,34,Not Stated,Not Stated,Formal Warning,-85,Non-Court Action,Formal Warning,Formal Warning,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Jun2016,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Informal Warning,,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,0
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2016,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Informal Warning,,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Aug2016,1,70-74,70 - 74 years inclusive,Possess or access child abuse material,3,342,34,European,European,Informal Warning,,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,2
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2016,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Informal Warning,,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2016,1,25-29,25 - 29 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Informal Warning,,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Oct2016,1,75-79,75 - 79 years inclusive,"Child abuse material offences, nfd",3,340,34,European,European,Informal Warning,,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,4
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2017,1,10-14,10 - 14 years inclusive,Possess or access child abuse material,3,342,34,European,European,Informal Warning,,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Feb2016,1,35-39,35 - 39 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Informal Warning,,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,8
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2015,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Informal Warning,,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Mar2015,1,30-34,30 - 34 years inclusive,"Child abuse material offences, nfd",3,340,34,European,European,Informal Warning,,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,9
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,May2016,1,55-59,55 - 59 years inclusive,Possess or access child abuse material,3,342,34,European,European,Informal Warning,,Non-Court Action,Informal Warning,Informal Warning,1,Person,Male,11
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2022,1,10-14,10 - 14 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-45,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2020,1,15-19,15 - 19 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,-69,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2021,1,15-19,15 - 19 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-57,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2015,1,20-24,20 - 24 years inclusive,Produce or distribute child abuse material,3,341,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2020,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-69,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2021,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-57,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2025,1,20-24,20 - 24 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,-9,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
3 Age Ethnicity Sex,Sexual Offences,Child abuse material offences,Sep2016,1,25-29,25 - 29 years inclusive,Possess or access child abuse material,3,342,34,European,European,Court Action,,Court Action,Prosecution,Court Action N.E.C.,1,Person,Male,3
