Year,Age,Race,Sex,Supply,Count
2023,,,,Consumer,6116
2023,,,,Producer,464
2023,,,Female,Consumer,55
2023,,,Female,Producer,6
2023,,,Male,Consumer,230
2023,,,Male,Producer,28
2023,,White,,Consumer,9
2023,,White,,Producer,1
2023,,White,Female,Consumer,19
2023,,White,Female,Producer,2
2023,,White,Male,Consumer,94
2023,,White,Male,Producer,9
2023,,Black,Female,Consumer,10
2023,,Black,Female,Producer,2
2023,,Black,Male,Consumer,49
2023,,Black,Male,Producer,5
2023,,Other,,Consumer,2
2023,,Other,Female,Producer,1
2023,,Other,Male,Consumer,7
2023,,Hispanic,,Consumer,1
2023,,Hispanic,Female,Consumer,4
2023,,Hispanic,Male,Consumer,28
2023,,Hispanic,Male,Producer,3
2023,Child,,,Consumer,6
2023,Child,,Female,Consumer,30
2023,Child,,Female,Producer,5
2023,Child,,Male,Consumer,19
2023,Child,,Male,Producer,8
2023,Child,White,,Consumer,1
2023,Child,White,Female,Consumer,225
2023,Child,White,Female,Producer,35
2023,Child,White,Male,Consumer,298
2023,Child,White,Male,Producer,43
2023,Child,Black,Female,Consumer,109
2023,Child,Black,Female,Producer,9
2023,Child,Black,Male,Consumer,167
2023,Child,Black,Male,Producer,15
2023,Child,Other,Female,Consumer,4
2023,Child,Other,Female,Producer,3
2023,Child,Other,Male,Consumer,9
2023,Child,Other,Male,Producer,3
2023,Child,Hispanic,Female,Consumer,51
2023,Child,Hispanic,Female,Producer,6
2023,Child,Hispanic,Male,Consumer,59
2023,Child,Hispanic,Male,Producer,11
2023,Adolescent,,,Consumer,25
2023,Adolescent,,,Producer,2
2023,Adolescent,,Female,Consumer,27
2023,Adolescent,,Female,Producer,7
2023,Adolescent,,Male,Consumer,82
2023,Adolescent,,Male,Producer,13
2023,Adolescent,White,,Consumer,1
2023,Adolescent,White,,Producer,1
2023,Adolescent,White,Female,Consumer,230
2023,Adolescent,White,Female,Producer,40
2023,Adolescent,White,Male,Consumer,682
2023,Adolescent,White,Male,Producer,103
2023,Adolescent,Black,Female,Consumer,99
2023,Adolescent,Black,Female,Producer,12
2023,Adolescent,Black,Male,Consumer,255
2023,Adolescent,Black,Male,Producer,37
2023,Adolescent,Other,Female,Consumer,12
2023,Adolescent,Other,Female,Producer,6
2023,Adolescent,Other,Male,Consumer,36
2023,Adolescent,Other,Male,Producer,6
2023,Adolescent,Hispanic,Female,Consumer,51
2023,Adolescent,Hispanic,Female,Producer,5
2023,Adolescent,Hispanic,Male,Consumer,174
2023,Adolescent,Hispanic,Male,Producer,16
2023,Adult,,,Consumer,195
2023,Adult,,,Producer,12
2023,Adult,,Female,Consumer,46
2023,Adult,,Female,Producer,3
2023,Adult,,Male,Consumer,329
2023,Adult,,Male,Producer,19
2023,Adult,White,,Consumer,6
2023,Adult,White,Female,Consumer,280
2023,Adult,White,Female,Producer,29
2023,Adult,White,Male,Consumer,3661
2023,Adult,White,Male,Producer,300
2023,Adult,Black,Female,Consumer,66
2023,Adult,Black,Female,Producer,9
2023,Adult,Black,Male,Consumer,546
2023,Adult,Black,Male,Producer,50
2023,Adult,Other,,Consumer,3
2023,Adult,Other,Female,Consumer,11
2023,Adult,Other,Female,Producer,3
2023,Adult,Other,Male,Consumer,149
2023,Adult,Other,Male,Producer,7
2023,Adult,Hispanic,,Consumer,1
2023,Adult,Hispanic,Female,Consumer,38
2023,Adult,Hispanic,Female,Producer,5
2023,Adult,Hispanic,Male,Consumer,580
2023,Adult,Hispanic,Male,Producer,34
2024,,,,Consumer,6419
2024,,,,Producer,377
2024,,,Female,Consumer,31
2024,,,Female,Producer,9
2024,,,Male,Consumer,205
2024,,,Male,Producer,25
2024,,White,,Consumer,4
2024,,White,,Producer,1
2024,,White,Female,Consumer,36
2024,,White,Female,Producer,5
2024,,White,Male,Consumer,110
2024,,White,Male,Producer,13
