Year,Group,Race,Sex,count
2023,,,,6580
2023,,,Female,61
2023,,,Male,258
2023,,White,,10
2023,,White,Female,21
2023,,White,Male,103
2023,,Black,Female,12
2023,,Black,Male,54
2023,,Other,,2
2023,,Other,Female,1
2023,,Other,Male,7
2023,,Hispanic,,1
2023,,Hispanic,Female,4
2023,,Hispanic,Male,31
2023,Child,,,6
2023,Child,,Female,35
2023,Child,,Male,27
2023,Child,White,,1
2023,Child,White,Female,260
2023,Child,White,Male,341
2023,Child,Black,Female,118
2023,Child,Black,Male,182
2023,Child,Other,Female,7
2023,Child,Other,Male,12
2023,Child,Hispanic,Female,57
2023,Child,Hispanic,Male,70
2023,Adolescent,,,27
2023,Adolescent,,Female,34
2023,Adolescent,,Male,95
2023,Adolescent,White,,2
2023,Adolescent,White,Female,270
2023,Adolescent,White,Male,785
2023,Adolescent,Black,Female,111
2023,Adolescent,Black,Male,292
2023,Adolescent,Other,Female,18
2023,Adolescent,Other,Male,42
2023,Adolescent,Hispanic,Female,56
2023,Adolescent,Hispanic,Male,190
2023,Adult,,,207
2023,Adult,,Female,49
2023,Adult,,Male,348
2023,Adult,White,,6
2023,Adult,White,Female,309
2023,Adult,White,Male,3961
2023,Adult,Black,Female,75
2023,Adult,Black,Male,596
2023,Adult,Other,,3
2023,Adult,Other,Female,14
2023,Adult,Other,Male,156
2023,Adult,Hispanic,,1
2023,Adult,Hispanic,Female,43
2023,Adult,Hispanic,Male,614
2024,,,,6796
2024,,,Female,40
2024,,,Male,230
2024,,White,,5
2024,,White,Female,41
2024,,White,Male,123
2024,,Black,Female,12
2024,,Black,Male,52
2024,,Other,,4
2024,,Other,Female,2
2024,,Other,Male,4
2024,,Hispanic,,1
2024,,Hispanic,Female,6
2024,,Hispanic,Male,27
2024,Child,,,18
2024,Child,,Female,24
2024,Child,,Male,45
2024,Child,White,,1
2024,Child,White,Female,292
2024,Child,White,Male,418
2024,Child,Black,Female,165
2024,Child,Black,Male,223
2024,Child,Other,Female,11
2024,Child,Other,Male,28
2024,Child,Hispanic,Female,46
2024,Child,Hispanic,Male,103
2024,Adolescent,,,8
2024,Adolescent,,Female,32
2024,Adolescent,,Male,85
2024,Adolescent,White,,1
2024,Adolescent,White,Female,315
2024,Adolescent,White,Male,817
2024,Adolescent,Black,Female,121
2024,Adolescent,Black,Male,268
2024,Adolescent,Other,Female,12
2024,Adolescent,Other,Male,42
2024,Adolescent,Hispanic,Female,46
2024,Adolescent,Hispanic,Male,203
2024,Adult,,,205
2024,Adult,,Female,42
2024,Adult,,Male,406
2024,Adult,White,,15
2024,Adult,White,Female,349
2024,Adult,White,Male,4489
2024,Adult,Black,Female,120
2024,Adult,Black,Male,708
2024,Adult,Other,,1
2024,Adult,Other,Female,17
2024,Adult,Other,Male,214
2024,Adult,Hispanic,,2
2024,Adult,Hispanic,Female,46
2024,Adult,Hispanic,Male,757
