Rank,Age Group,Sex,Race,Count
1,Child,FEMALE,AMERICAN_INDIAN,4
1,Child,FEMALE,ASIAN,2
1,Child,FEMALE,BLACK,120
1,Child,FEMALE,HAWAIIAN,1
1,Child,FEMALE,UNKNOWN,36
1,Child,FEMALE,WHITE,314
1,Child,MALE,AMERICAN_INDIAN,4
1,Child,MALE,ASIAN,9
1,Child,MALE,BLACK,185
1,Child,MALE,UNKNOWN,33
1,Child,MALE,WHITE,401
1,Child,UNKNOWN,UNKNOWN,6
1,Child,UNKNOWN,WHITE,1
2,Adolescent,FEMALE,AMERICAN_INDIAN,8
2,Adolescent,FEMALE,ASIAN,10
2,Adolescent,FEMALE,BLACK,111
2,Adolescent,FEMALE,HAWAIIAN,1
2,Adolescent,FEMALE,UNKNOWN,34
2,Adolescent,FEMALE,WHITE,325
2,Adolescent,MALE,AMERICAN_INDIAN,18
2,Adolescent,MALE,ASIAN,24
2,Adolescent,MALE,BLACK,299
2,Adolescent,MALE,HAWAIIAN,2
2,Adolescent,MALE,UNKNOWN,103
2,Adolescent,MALE,WHITE,958
2,Adolescent,UNKNOWN,UNKNOWN,27
2,Adolescent,UNKNOWN,WHITE,2
3,Adult,FEMALE,AMERICAN_INDIAN,3
3,Adult,FEMALE,ASIAN,10
3,Adult,FEMALE,BLACK,75
3,Adult,FEMALE,HAWAIIAN,1
3,Adult,FEMALE,UNKNOWN,52
3,Adult,FEMALE,WHITE,349
3,Adult,MALE,AMERICAN_INDIAN,40
3,Adult,MALE,ASIAN,114
3,Adult,MALE,BLACK,605
3,Adult,MALE,HAWAIIAN,8
3,Adult,MALE,UNKNOWN,376
3,Adult,MALE,WHITE,4532
3,Adult,UNKNOWN,AMERICAN_INDIAN,1
3,Adult,UNKNOWN,ASIAN,2
3,Adult,UNKNOWN,UNKNOWN,207
3,Adult,UNKNOWN,WHITE,7
4,Unknown,FEMALE,BLACK,12
4,Unknown,FEMALE,HAWAIIAN,1
4,Unknown,FEMALE,UNKNOWN,62
4,Unknown,FEMALE,WHITE,24
4,Unknown,MALE,AMERICAN_INDIAN,3
4,Unknown,MALE,ASIAN,4
4,Unknown,MALE,BLACK,54
4,Unknown,MALE,HAWAIIAN,1
4,Unknown,MALE,UNKNOWN,263
4,Unknown,MALE,WHITE,128
4,Unknown,NOT_SPECIFIED,NOT_SPECIFIED,5865
4,Unknown,UNKNOWN,ASIAN,2
4,Unknown,UNKNOWN,UNKNOWN,715
4,Unknown,UNKNOWN,WHITE,11
