rank,c2020,a2020,c2021,a2021,c2022,a2022,c2023,a2023,c2024,a2024
1,0.0,0.0,0.0,0.0,5.1558415232936864e-06,7.160891004574565e-06,0.0,0.0,0.0,0.0
2,0.0,0.0,5.358805589871062e-06,7.880596455692737e-06,2.1099346271921343e-05,3.682259384279467e-05,0.0,0.0,0.0,0.0
3,0.0,0.0,2.27014948017807e-05,0.00021984038771302023,2.4618983200033525e-05,0.0005127692358969231,9.844051968350246e-06,1.3266916399393863e-05,0.0,0.0
4,3.244499145408251e-06,5.022444497535992e-06,3.379296665515747e-05,0.000311693337642182,4.247002001779948e-05,0.0008370906642267843,1.0661625926769037e-05,5.989388528471445e-05,0.0,0.0
5,7.2811336725128105e-06,1.157572920908237e-05,3.999265436463451e-05,0.00041275445094146726,4.8646146362131326e-05,0.0008792494000011973,1.9010276140555462e-05,0.0008853574937080898,3.217578170096369e-06,4.262370540332573e-06
6,2.6906815510757546e-05,0.0003610875552916967,4.7143052757183936e-05,0.00048551917682732385,6.687301489068461e-05,0.0008852377748663292,3.449887792399552e-05,0.001118251537679733,3.2607134633544187e-06,5.9255583243027055e-06
7,2.9513930026856834e-05,0.00036909793940002395,4.833578736802809e-05,0.0005026948727394417,6.811045662940694e-05,0.0009330680175440492,5.302014723545804e-05,0.0011412721838778067,6.222418071259698e-06,3.973368892336007e-05
8,3.6227090211666646e-05,0.0005315214203398898,5.127487701942305e-05,0.0005746427319577199,8.889471205347055e-05,0.0009947504570805555,5.8613234169574684e-05,0.0011519588854177515,1.748282312627843e-05,5.283791733488618e-05
9,4.1927137086073186e-05,0.0006507473716816178,5.414077480935448e-05,0.0006321463428117314,9.392899745672168e-05,0.0012462551387705096,7.26309511883642e-05,0.0012816574529850634,2.9325044120861835e-05,0.0003515427549677055
10,4.6242363569570414e-05,0.0006740136010071988,5.609201901040481e-05,0.0006848048648537599,0.00010543668598247757,0.0012675447658081654,8.145189254111994e-05,0.0013205627488793491,3.0202469098747067e-05,0.0006069714270080036
11,6.385990767568239e-05,0.0007467377131583283,8.159926793799621e-05,0.0007052584066802076,0.00011645916785168977,0.0013007048392325536,8.287150971703391e-05,0.0013215516413481877,3.469908641522629e-05,0.0007215696651886074
12,6.730909609978323e-05,0.0007808709522252739,8.926611878875543e-05,0.0007724463356373568,0.00011769879748783187,0.001400126493215079,0.00011172045778586248,0.0013352769269036056,4.2431127475115744e-05,0.0007740542594538569
13,8.85310939906964e-05,0.0008015656822157583,9.344632751440256e-05,0.0007969644669397972,0.00011836414037016237,0.0014569086819184792,0.0001230646916254245,0.0014224482204546935,4.4737319241693657e-05,0.000797646911311421
14,9.433715015013744e-05,0.0008563249192027911,9.884356513797476e-05,0.000876392740170181,0.00012699023605447838,0.0015229837399716724,0.00012573999147667752,0.0014781741987811038,4.91646855876483e-05,0.0008658166079210098
