Region (NUTS2);Criminal typology;Age group;Sex;period;Total
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2024;97
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2023;85
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2022;50
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2021;39
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2020;43
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2019;124
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2018;111
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2017;33
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2016;24
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2015;47
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2014;73
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2013;60
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2012;9
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2011;9
TOTAL;3.4.-Pornography of minors;14-17 years;Male;2010;16
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2024;8
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2023;6
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2022;0
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2021;0
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2020;2
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2019;7
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2018;7
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2017;2
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2016;0
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2015;4
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2014;14
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2013;19
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2012;1
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2011;2
TOTAL;3.4.-Pornography of minors;14-17 years;Female;2010;1
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2024;105
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2023;91
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2022;50
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2021;39
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2020;45
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2019;131
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2018;118
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2017;35
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2016;24
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2015;51
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2014;87
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2013;79
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2012;10
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2011;11
TOTAL;3.4.-Pornography of minors;14-17 years;Total;2010;17
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2024;145
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2023;173
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2022;117
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2021;120
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2020;99
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2019;149
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2018;138
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2017;92
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2016;90
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2015;120
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2014;72
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2013;66
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2012;64
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2011;113
TOTAL;3.4.-Pornography of minors;18-30 years;Male;2010;117
