Metric,Period Type,Period,Policy Type,Issue Policy,Task Type,Task,Location,Market,Result
Total accounts removed,quarterly,Jul-Sep 2020,ban_reason,Accounts suspected to be under the age of 13 removed,all,all,all,all,920793.0
Total accounts removed,quarterly,Jul-Sep 2020,ban_reason,Other accounts removed,all,all,all,all,704023.0
Removal rate within 24 hours,quarterly,Jul-Sep 2020,issue,Adult nudity and sexual activities,all,all,all,all,0.9109999999999999
Removal rate within 24 hours,quarterly,Jul-Sep 2020,all,all,all,all,all,all,0.938
Removal rate within 24 hours,quarterly,Jul-Sep 2020,issue,Harassment and bullying,all,all,all,all,0.841
Removal rate within 24 hours,quarterly,Jul-Sep 2020,issue,Hateful behavior,all,all,all,all,0.81
Removal rate within 24 hours,quarterly,Jul-Sep 2020,issue,Illegal activities and regulated goods,all,all,all,all,0.9440000000000001
Removal rate within 24 hours,quarterly,Jul-Sep 2020,issue,Integrity and authenticity,all,all,all,all,0.882
Removal rate within 24 hours,quarterly,Jul-Sep 2020,issue,Minor safety,all,all,all,all,0.9620000000000001
Removal rate within 24 hours,quarterly,Jul-Sep 2020,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.917
Removal rate within 24 hours,quarterly,Jul-Sep 2020,issue,Violent and graphic content,all,all,all,all,0.9279999999999999
Removal rate within 24 hours,quarterly,Jul-Sep 2020,issue,Violent extremism,all,all,all,all,0.904
Removal rate before any views,quarterly,Jul-Sep 2020,issue,Adult nudity and sexual activities,all,all,all,all,0.7659999999999999
Removal rate before any views,quarterly,Jul-Sep 2020,all,all,all,all,all,all,0.853
Removal rate before any views,quarterly,Jul-Sep 2020,issue,Harassment and bullying,all,all,all,all,0.521
Removal rate before any views,quarterly,Jul-Sep 2020,issue,Hateful behavior,all,all,all,all,0.561
Removal rate before any views,quarterly,Jul-Sep 2020,issue,Illegal activities and regulated goods,all,all,all,all,0.883
Removal rate before any views,quarterly,Jul-Sep 2020,issue,Integrity and authenticity,all,all,all,all,0.257
Removal rate before any views,quarterly,Jul-Sep 2020,issue,Minor safety,all,all,all,all,0.943
Removal rate before any views,quarterly,Jul-Sep 2020,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.8220000000000001
Removal rate before any views,quarterly,Jul-Sep 2020,issue,Violent and graphic content,all,all,all,all,0.809
Removal rate before any views,quarterly,Jul-Sep 2020,issue,Violent extremism,all,all,all,all,0.765
Category share,quarterly,Jul-Sep 2020,issue,Adult nudity and sexual activities,all,all,all,all,0.213
Category share,quarterly,Jul-Sep 2020,issue,Harassment and bullying,all,all,all,all,0.049
Category share,quarterly,Jul-Sep 2020,issue,Hateful behavior,all,all,all,all,0.016
Category share,quarterly,Jul-Sep 2020,issue,Illegal activities and regulated goods,all,all,all,all,0.158
Category share,quarterly,Jul-Sep 2020,issue,Integrity and authenticity,all,all,all,all,0.015
Category share,quarterly,Jul-Sep 2020,issue,Minor safety,all,all,all,all,0.41
Category share,quarterly,Jul-Sep 2020,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.059000000000000004
Category share,quarterly,Jul-Sep 2020,issue,Violent and graphic content,all,all,all,all,0.077
Category share,quarterly,Jul-Sep 2020,issue,Violent extremism,all,all,all,all,0.002
Total videos removed,quarterly,Jul-Sep 2020,all,all,all,all,all,all,43086543.0
Total videos removed,quarterly,Jul-Sep 2020,all,all,task_type,automation,all,all,3370913.0
Removal rate of published,quarterly,Jul-Sep 2020,all,all,all,all,all,all,0.006
Proactive removal rate,quarterly,Jul-Sep 2020,issue,Adult nudity and sexual activities,all,all,all,all,0.9009999999999999
Proactive removal rate,quarterly,Jul-Sep 2020,all,all,all,all,all,all,0.934
Proactive removal rate,quarterly,Jul-Sep 2020,issue,Harassment and bullying,all,all,all,all,0.6859999999999999
Proactive removal rate,quarterly,Jul-Sep 2020,issue,Hateful behavior,all,all,all,all,0.73
Proactive removal rate,quarterly,Jul-Sep 2020,issue,Illegal activities and regulated goods,all,all,all,all,0.97
Proactive removal rate,quarterly,Jul-Sep 2020,issue,Integrity and authenticity,all,all,all,all,0.445
Proactive removal rate,quarterly,Jul-Sep 2020,issue,Minor safety,all,all,all,all,0.975
Proactive removal rate,quarterly,Jul-Sep 2020,issue,"Suicide, self-harm, and dangerous acts",all,all,all,all,0.946
Proactive removal rate,quarterly,Jul-Sep 2020,issue,Violent and graphic content,all,all,all,all,0.937
Proactive removal rate,quarterly,Jul-Sep 2020,issue,Violent extremism,all,all,all,all,0.9
Videos restored,quarterly,Jul-Sep 2020,all,all,all,all,all,all,1315135.0
