Metric,Period type,Period,Policy type,Issue,Task type,Task,Location,Market,Result
Accounts removed,Quarterly,Jul-Sep 2020,Ban reason,Accounts suspected to be under the age of 13 removed,All,All,All,All,920793.0
Accounts removed,Quarterly,Jul-Sep 2020,Ban reason,Other accounts removed,All,All,All,All,704023.0
Removal rate within 24 hours,Quarterly,Jul-Sep 2020,Policy,Adult nudity and sexual activities,All,All,All,All,0.911
Removal rate within 24 hours,Quarterly,Jul-Sep 2020,All,All,All,All,All,All,0.938
Removal rate within 24 hours,Quarterly,Jul-Sep 2020,Policy,Harassment and bullying,All,All,All,All,0.841
Removal rate within 24 hours,Quarterly,Jul-Sep 2020,Policy,Hateful behavior,All,All,All,All,0.81
Removal rate within 24 hours,Quarterly,Jul-Sep 2020,Policy,Illegal activities and regulated goods,All,All,All,All,0.944
Removal rate within 24 hours,Quarterly,Jul-Sep 2020,Policy,Integrity and authenticity,All,All,All,All,0.882
Removal rate within 24 hours,Quarterly,Jul-Sep 2020,Policy,Minor safety,All,All,All,All,0.962
Removal rate within 24 hours,Quarterly,Jul-Sep 2020,Policy,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.917
Removal rate within 24 hours,Quarterly,Jul-Sep 2020,Policy,Violent and graphic content,All,All,All,All,0.928
Removal rate within 24 hours,Quarterly,Jul-Sep 2020,Policy,Violent extremism,All,All,All,All,0.904
Removal rate before any views,Quarterly,Jul-Sep 2020,Policy,Adult nudity and sexual activities,All,All,All,All,0.7659999999999999
Removal rate before any views,Quarterly,Jul-Sep 2020,All,All,All,All,All,All,0.853
Removal rate before any views,Quarterly,Jul-Sep 2020,Policy,Harassment and bullying,All,All,All,All,0.521
Removal rate before any views,Quarterly,Jul-Sep 2020,Policy,Hateful behavior,All,All,All,All,0.561
Removal rate before any views,Quarterly,Jul-Sep 2020,Policy,Illegal activities and regulated goods,All,All,All,All,0.883
Removal rate before any views,Quarterly,Jul-Sep 2020,Policy,Integrity and authenticity,All,All,All,All,0.257
Removal rate before any views,Quarterly,Jul-Sep 2020,Policy,Minor safety,All,All,All,All,0.943
Removal rate before any views,Quarterly,Jul-Sep 2020,Policy,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.8220000000000001
Removal rate before any views,Quarterly,Jul-Sep 2020,Policy,Violent and graphic content,All,All,All,All,0.809
Removal rate before any views,Quarterly,Jul-Sep 2020,Policy,Violent extremism,All,All,All,All,0.765
Category share,Quarterly,Jul-Sep 2020,Policy,Adult nudity and sexual activities,All,All,All,All,0.213
Category share,Quarterly,Jul-Sep 2020,Policy,Harassment and bullying,All,All,All,All,0.049
Category share,Quarterly,Jul-Sep 2020,Policy,Hateful behavior,All,All,All,All,0.016
Category share,Quarterly,Jul-Sep 2020,Policy,Illegal activities and regulated goods,All,All,All,All,0.158
Category share,Quarterly,Jul-Sep 2020,Policy,Integrity and authenticity,All,All,All,All,0.015
Category share,Quarterly,Jul-Sep 2020,Policy,Minor safety,All,All,All,All,0.41
Category share,Quarterly,Jul-Sep 2020,Policy,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.059
Category share,Quarterly,Jul-Sep 2020,Policy,Violent and graphic content,All,All,All,All,0.077
Category share,Quarterly,Jul-Sep 2020,Policy,Violent extremism,All,All,All,All,0.002
Total videos removed,Quarterly,Jul-Sep 2020,All,All,All,All,All,All,43086543.0
Total videos removed,Quarterly,Jul-Sep 2020,All,All,task_type,Automation,All,All,3370913.0
Video: Removal rate of published,Quarterly,Jul-Sep 2020,All,All,All,All,All,All,0.006
Proactive removal rate,Quarterly,Jul-Sep 2020,Policy,Adult nudity and sexual activities,All,All,All,All,0.901
Proactive removal rate,Quarterly,Jul-Sep 2020,All,All,All,All,All,All,0.934
Proactive removal rate,Quarterly,Jul-Sep 2020,Policy,Harassment and bullying,All,All,All,All,0.6859999999999999
Proactive removal rate,Quarterly,Jul-Sep 2020,Policy,Hateful behavior,All,All,All,All,0.73
Proactive removal rate,Quarterly,Jul-Sep 2020,Policy,Illegal activities and regulated goods,All,All,All,All,0.97
Proactive removal rate,Quarterly,Jul-Sep 2020,Policy,Integrity and authenticity,All,All,All,All,0.445
Proactive removal rate,Quarterly,Jul-Sep 2020,Policy,Minor safety,All,All,All,All,0.975
Proactive removal rate,Quarterly,Jul-Sep 2020,Policy,"Suicide, self-harm, and dangerous acts",All,All,All,All,0.946
Proactive removal rate,Quarterly,Jul-Sep 2020,Policy,Violent and graphic content,All,All,All,All,0.937
